Latitude,Longitude,Month_1,Month_2,Month_3,Month_4,Month_5,Month_6,Month_7,Month_8,Month_9,Month_10,Month_11,Month_12
25.8125,-80.8542,0.95,106.03,48.3,189.99,165.43,245.33,253.05,217.4,211.33,64.31,211.66,90.23
25.8542,-81.3125,2.76,31.67,24.37,129.35,144.55,199.01,175.15,185.13,182.65,62.98,140.44,82.32
25.8542,-80.4792,1.29,112.36,58.53,260.82,174.03,271.46,231.73,224.67,247.53,81.25,229.62,97.22
25.8958,-81.1458,1.31,62.24,36.66,162.22,150.34,224.22,219.79,202.65,193.8,58.23,170.53,84.61
25.8958,-80.3125,1.63,106.68,56.8,305.74,166.27,285.7,213.97,233.0,253.49,84.69,232.23,101.84
25.9375,-81.3125,4.53,22.89,17.96,131.28,148.07,201.23,134.75,178.95,192.71,67.05,106.93,78.62
25.9375,-80.4792,1.44,107.87,57.32,279.42,170.73,280.87,235.36,231.11,244.32,81.25,229.06,99.51
25.9792,-81.7292,13.14,15.69,7.93,104.52,146.15,171.54,119.0,182.45,195.0,86.82,56.88,78.79
25.9792,-80.8958,1.32,94.33,47.36,215.48,159.68,258.2,240.64,222.57,214.42,62.18,188.27,87.97
26.0208,-97.5625,4.53,3.88,52.91,97.15,138.51,30.49,28.58,28.02,23.65,58.06,126.6,19.28
26.0208,-81.2292,3.62,27.6,19.87,147.19,148.7,206.26,127.08,174.09,194.48,59.57,105.46,78.53
26.0208,-80.3958,1.71,102.62,56.39,311.14,167.97,290.4,235.14,231.82,241.35,83.24,235.04,105.48
26.0625,-97.5625,4.34,3.54,54.82,95.3,140.97,31.48,29.84,28.24,25.37,59.49,127.46,20.48
26.0625,-81.3125,5.67,17.17,12.02,132.25,149.53,196.72,98.54,166.42,195.38,67.11,75.23,74.84
26.0625,-80.4792,1.74,99.54,55.54,297.5,165.01,285.65,243.93,232.37,239.41,80.66,225.93,103.5
26.1042,-97.8125,2.63,3.49,53.61,93.06,122.72,26.23,29.95,25.08,23.91,54.41,106.62,18.98
26.1042,-81.4792,8.81,14.65,9.86,117.6,148.1,193.84,108.96,172.06,199.03,78.99,57.34,71.57
26.1042,-80.6458,1.72,94.46,52.35,277.34,161.2,282.22,238.46,226.92,225.15,71.38,204.42,97.0
26.1458,-98.0208,2.3,3.7,52.57,103.07,115.73,17.89,21.15,23.15,21.44,47.33,85.12,19.44
26.1458,-81.6875,11.38,14.75,8.26,106.27,145.94,180.89,123.05,182.07,201.54,85.99,56.27,77.8
26.1458,-80.8542,1.8,75.44,40.54,230.98,152.96,258.76,207.28,208.76,211.38,59.56,163.86,88.82
26.1875,-98.3542,2.31,2.31,54.89,112.31,123.19,14.65,12.52,23.72,25.92,38.31,71.28,14.83
26.1875,-97.5208,4.24,2.73,59.05,94.56,150.56,35.43,32.0,29.29,29.81,62.19,131.69,23.61
26.1875,-81.2292,4.23,17.97,11.58,146.45,144.98,194.08,78.17,154.94,188.84,53.81,74.33,75.03
26.1875,-80.3958,2.57,92.11,52.34,312.66,161.6,281.7,246.55,219.34,238.53,84.27,227.96,110.14
26.2292,-98.0625,2.01,3.6,51.28,107.07,118.68,16.74,20.5,23.7,22.02,46.62,81.28,18.88
26.2292,-81.7292,13.86,12.01,7.34,104.89,144.53,173.14,118.12,184.34,198.14,80.78,58.68,79.75
26.2292,-80.8958,2.14,53.93,28.39,206.19,148.37,236.34,158.83,179.56,200.77,53.09,127.8,86.08
26.2708,-98.6875,1.34,1.35,45.65,100.4,100.22,16.07,5.02,44.82,47.53,39.13,83.02,11.9
26.2708,-97.8542,1.62,3.18,50.15,95.13,115.26,24.47,31.85,23.09,19.97,52.04,101.19,16.71
26.2708,-81.5625,11.21,12.14,8.89,114.11,145.79,186.54,116.05,175.75,194.92,78.35,56.35,74.55
26.2708,-80.7292,2.48,67.61,36.9,246.17,153.91,263.12,203.97,199.01,213.48,61.51,163.13,93.7
26.3125,-98.5625,1.59,1.88,49.08,103.5,108.54,15.44,6.81,38.08,40.96,40.51,82.13,13.8
26.3125,-97.7292,2.26,2.37,52.06,90.35,128.86,33.84,37.06,28.53,28.53,53.69,116.63,18.03
26.3125,-81.3542,6.1,14.7,11.09,131.68,142.16,191.54,86.12,157.36,184.28,59.66,64.82,71.92
26.3125,-80.5208,3.33,77.17,41.01,284.84,161.67,274.03,238.92,202.45,230.09,73.0,195.14,105.01
26.3542,-98.3958,1.8,2.99,49.53,105.47,120.75,14.31,9.69,30.45,31.24,42.96,80.27,16.28
26.3542,-97.5625,3.61,2.11,54.77,89.84,137.02,39.09,35.65,36.0,30.27,55.58,128.74,20.39
26.3542,-81.2292,4.53,16.99,12.3,143.4,139.95,193.04,71.9,148.86,179.12,51.38,68.37,72.13
26.3542,-80.3958,4.21,76.84,42.74,290.42,164.85,271.05,238.29,188.97,240.14,78.11,200.27,112.0
26.3958,-98.4375,1.73,2.86,49.47,102.98,118.54,15.2,8.83,33.31,34.21,43.31,85.49,16.34
26.3958,-97.6042,3.22,2.05,51.91,88.36,131.88,38.32,37.64,37.4,28.25,53.57,126.5,19.5
26.3958,-81.1875,3.88,18.06,12.87,147.46,138.02,193.05,66.78,144.57,177.25,47.46,69.77,72.92
26.3958,-80.3542,5.05,75.03,39.64,286.65,168.87,264.93,230.43,177.66,241.12,77.36,194.65,114.17
26.4375,-98.5625,1.51,2.3,49.01,98.18,108.07,16.36,5.84,41.08,41.83,42.53,92.47,14.89
26.4375,-97.7292,2.07,2.06,44.77,87.84,125.82,32.6,43.72,32.91,23.11,50.05,119.55,19.15
26.4375,-81.3958,6.56,13.36,11.69,129.38,136.69,192.56,96.15,158.37,176.96,61.91,63.11,71.63
26.4375,-80.5625,4.77,57.45,26.15,248.39,165.91,252.97,193.01,168.84,220.45,62.03,152.4,99.99
26.4792,-98.7708,0.88,1.14,44.72,91.3,88.33,18.09,2.04,55.46,56.16,41.08,99.23,12.02
26.4792,-97.9375,1.6,3.3,42.18,86.07,117.7,24.54,34.76,24.35,19.89,47.79,104.99,20.57
26.4792,-81.6458,9.6,8.54,8.66,110.28,135.52,186.92,117.82,178.65,189.07,74.64,57.77,73.82
26.4792,-80.8125,2.9,23.35,16.72,173.39,143.69,209.67,91.33,134.79,184.54,43.41,88.71,84.29
26.5208,-99.0625,0.52,0.57,38.59,92.49,81.06,17.51,0.43,61.31,62.69,37.6,95.63,9.61
26.5208,-98.2292,1.92,4.52,42.48,80.34,117.69,19.25,15.86,21.48,22.72,45.45,97.62,21.8
26.5208,-81.9375,19.83,5.02,6.86,101.92,138.55,137.79,106.91,209.73,173.5,61.47,67.32,95.5
26.5208,-81.1042,2.6,19.86,15.18,151.08,131.18,194.27,68.62,134.26,169.96,39.87,71.7,72.45
26.5208,-80.2708,7.75,66.06,26.23,266.64,179.25,249.35,200.53,144.39,243.34,74.43,161.7,114.29
26.5625,-98.5625,1.55,2.71,47.98,87.38,103.73,18.39,5.79,41.68,41.89,43.11,102.03,15.91
26.5625,-97.7292,2.29,2.1,42.05,82.75,114.46,35.05,43.6,38.62,21.6,47.3,122.86,19.59
26.5625,-81.6042,9.35,8.93,9.95,115.09,133.58,189.76,114.11,177.88,182.25,69.25,59.47,76.14
26.5625,-80.7708,3.18,18.14,15.2,170.78,139.47,216.47,96.09,129.13,182.93,41.67,86.72,84.83
26.6042,-99.0625,0.97,0.79,39.73,92.84,82.56,17.57,1.02,62.15,60.23,38.45,98.18,10.44
26.6042,-98.2292,1.99,4.7,41.67,74.56,118.35,20.69,16.07,21.75,22.98,45.59,103.87,22.7
26.6042,-82.0208,20.54,3.78,8.68,104.23,132.2,124.67,111.19,218.47,168.79,58.66,66.03,99.71
26.6042,-81.1458,2.77,19.26,15.77,145.09,124.62,199.74,75.57,133.46,163.27,40.21,69.81,71.2
26.6042,-80.3125,6.91,52.99,18.84,246.9,168.88,257.06,200.84,145.96,250.36,74.04,142.06,109.91
26.6458,-98.6458,1.26,2.21,48.97,86.95,97.37,18.96,3.99,49.2,48.04,43.02,108.56,15.57
26.6458,-97.8125,2.17,2.84,39.44,77.69,108.7,32.81,39.89,36.08,19.08,45.94,120.48,20.82
26.6458,-81.5625,9.48,9.06,11.43,117.96,131.2,194.52,116.87,178.03,174.75,66.21,60.48,77.99
26.6458,-80.7292,3.38,16.21,15.06,166.13,132.15,220.11,102.68,124.31,181.95,40.3,83.16,85.82
26.6875,-99.0625,1.02,0.67,39.55,92.78,83.11,17.71,0.31,62.05,61.54,38.79,101.98,11.38
26.6875,-98.2292,2.04,4.98,39.53,65.97,114.37,22.85,18.9,21.6,22.28,45.35,111.96,22.86
26.6875,-82.0625,18.54,3.76,10.72,106.45,124.33,121.26,121.04,224.27,169.67,57.73,60.66,100.37
26.6875,-81.1875,3.23,18.02,18.79,133.7,111.59,224.14,105.11,134.38,158.86,45.06,67.75,71.21
26.6875,-80.3542,6.5,41.19,15.49,232.57,165.04,257.17,187.35,143.99,244.6,74.42,117.44,108.18
26.7292,-98.6875,1.19,2.11,49.36,86.41,95.97,19.7,3.07,50.83,50.14,43.27,114.35,14.97
26.7292,-97.8542,2.36,3.31,37.63,72.24,104.78,33.58,37.02,37.67,19.05,45.05,122.0,21.68
26.7292,-81.6875,12.26,5.87,11.54,115.81,131.47,176.16,127.71,202.81,176.1,66.16,58.91,86.51
26.7292,-80.7292,3.36,12.59,16.06,163.24,124.63,232.47,107.95,124.76,178.69,40.95,80.77,85.78
26.7708,-99.1042,2.42,0.9,37.15,93.96,83.04,17.51,0.67,66.24,62.56,40.47,96.89,12.37
26.7708,-98.2708,2.21,5.33,40.0,62.22,112.32,23.16,15.62,23.1,23.38,46.16,115.68,22.23
26.7708,-82.0208,15.89,3.94,13.31,112.49,120.41,125.15,131.51,230.97,173.71,58.72,55.66,101.55
26.7708,-81.1875,3.54,16.11,21.32,125.77,100.97,245.35,128.71,135.6,155.62,50.25,65.46,71.52
26.7708,-80.1458,7.13,39.65,11.86,238.43,153.51,275.91,229.54,154.85,275.94,113.08,117.86,109.97
26.8125,-98.5208,1.97,4.02,46.93,73.95,103.29,21.06,7.76,38.4,35.55,45.91,119.42,17.63
26.8125,-97.6875,3.24,2.25,37.24,75.38,90.78,41.02,41.28,57.26,20.63,44.66,130.85,20.7
26.8125,-81.5208,9.45,9.41,14.52,122.48,116.72,231.13,138.08,188.44,169.02,69.16,56.93,82.28
26.8125,-80.3958,6.62,31.64,11.55,218.11,158.04,254.37,163.99,159.52,229.49,82.65,100.68,108.38
26.8542,-98.8125,1.38,1.74,46.14,87.0,84.61,19.56,2.39,62.11,51.66,44.43,111.69,13.49
26.8542,-97.9792,2.2,4.44,33.08,66.68,102.42,27.95,31.48,29.23,19.38,47.32,123.52,23.17
26.8542,-81.7708,12.18,5.09,14.32,121.23,122.97,168.12,143.54,222.85,180.04,64.42,53.03,94.12
26.8542,-80.6458,3.94,7.39,13.02,177.24,127.45,247.78,105.88,143.71,187.34,42.38,83.38,93.35
26.8958,-99.1042,5.3,1.56,32.34,95.9,82.25,17.76,1.72,76.08,65.25,46.23,84.95,14.44
26.8958,-98.2708,2.88,5.9,35.46,61.32,102.67,23.43,15.06,28.84,23.96,51.6,118.83,21.58
26.8958,-82.2292,17.5,4.65,12.27,93.18,91.04,125.48,143.5,234.08,145.0,45.62,42.06,102.04
26.8958,-81.3125,6.45,13.46,19.16,124.99,94.57,280.95,152.87,170.61,160.98,70.92,56.64,77.27
26.9375,-99.3542,8.81,1.66,22.24,99.63,86.85,17.73,1.08,84.95,77.79,47.85,64.87,16.99
26.9375,-98.5208,3.1,4.83,38.59,76.9,88.95,20.57,9.65,48.91,30.72,55.67,106.57,17.37
26.9375,-97.6875,3.6,2.81,31.64,76.4,74.59,36.62,35.3,60.76,25.16,49.4,128.23,20.23
26.9375,-81.5625,9.75,8.2,15.79,127.3,106.39,249.29,163.79,213.11,180.39,77.18,50.83,87.52
26.9375,-80.2708,8.19,35.34,10.28,225.62,154.07,258.57,174.19,179.52,234.37,120.04,103.53,121.02
26.9792,-98.7292,3.26,3.43,37.77,93.14,74.54,18.74,7.63,70.48,40.54,58.14,93.81,13.98
26.9792,-97.8958,2.87,4.28,26.3,73.62,75.86,25.29,26.88,43.91,26.3,54.1,117.59,22.61
26.9792,-81.9375,9.77,4.8,18.42,120.76,108.51,141.41,160.67,249.39,181.4,57.91,42.03,103.28
26.9792,-81.1042,5.31,13.04,22.01,124.67,85.77,289.33,155.95,156.93,156.0,70.96,58.46,75.92
27.0208,-99.1875,9.38,2.15,23.36,100.48,83.35,17.94,2.1,88.55,73.2,52.21,66.04,18.25
27.0208,-98.3542,3.79,5.72,26.02,80.47,75.01,18.68,14.14,52.86,25.04,66.36,93.3,18.32
27.0208,-97.5208,5.46,2.6,30.2,83.67,55.23,37.51,29.19,77.04,31.61,54.54,126.22,18.93
27.0208,-81.6458,10.55,6.94,15.56,126.1,101.12,249.35,182.9,225.02,197.79,75.45,44.18,92.37
27.0208,-80.4375,7.86,28.62,10.94,208.58,150.13,253.33,136.8,195.95,207.01,109.3,101.93,119.83
27.0625,-98.9792,8.2,2.86,26.11,103.19,74.08,17.37,5.01,89.75,62.38,59.26,67.55,16.03
27.0625,-98.1458,3.39,5.36,21.11,79.19,65.16,17.23,16.0,50.31,28.23,66.86,95.8,20.07
27.0625,-82.2708,21.28,5.08,9.04,78.61,85.27,136.91,146.9,239.06,124.18,34.8,36.5,97.97
27.0625,-81.4375,10.22,10.53,15.8,128.5,86.18,324.07,187.05,215.16,182.08,93.51,43.73,86.89
27.0625,-80.3125,9.27,36.27,9.92,221.09,152.07,252.17,152.6,200.07,214.7,138.4,108.75,125.62
27.1042,-98.8125,6.88,4.35,23.08,109.38,58.89,15.64,11.73,93.91,42.41,72.81,56.98,13.59
27.1042,-97.9792,3.39,4.71,16.56,84.35,48.78,13.7,15.24,52.47,35.36,66.3,96.9,20.7
27.1042,-82.1458,17.23,5.23,11.36,86.73,94.36,145.81,154.4,252.58,143.86,39.29,37.53,99.68
27.1042,-81.3125,10.0,12.89,16.33,131.17,81.03,344.57,179.33,214.65,167.48,104.48,42.9,84.0
27.1042,-80.2708,10.17,39.62,10.04,225.55,153.62,246.14,146.48,206.33,208.17,152.63,106.46,127.38
27.1458,-98.7708,7.43,5.04,18.7,116.34,48.39,14.62,14.32,99.06,36.9,78.35,46.13,12.75
27.1458,-97.9375,3.62,4.54,14.61,87.96,41.07,12.05,13.65,56.52,37.89,68.91,93.19,20.07
27.1458,-82.1458,18.09,5.24,10.19,81.55,94.93,149.66,153.39,256.06,144.01,36.5,36.9,98.81
27.1458,-81.3125,10.79,12.62,15.71,132.86,79.81,352.84,180.64,221.31,167.18,110.99,41.31,85.47
27.1458,-80.3542,9.73,37.29,10.77,218.28,150.86,246.88,141.41,207.97,202.95,144.05,110.43,128.8
27.1875,-98.7708,8.17,5.43,15.89,118.75,45.8,14.1,15.76,102.47,36.51,81.7,37.68,11.76
27.1875,-97.9375,3.84,4.49,12.97,91.99,36.0,10.18,11.83,59.92,39.56,72.21,88.07,19.28
27.1875,-82.1875,20.53,5.41,8.51,75.39,97.17,153.45,152.12,259.43,133.25,32.74,35.5,96.88
27.1875,-81.3542,13.27,11.37,12.74,135.66,79.21,370.19,194.76,239.38,180.15,119.54,35.59,87.77
27.1875,-80.5208,8.35,31.2,12.36,203.17,142.74,252.96,140.85,200.09,198.87,116.62,114.55,128.38
27.2292,-98.9375,11.51,4.5,16.01,112.55,62.0,16.04,9.84,106.14,58.14,71.92,39.76,16.56
27.2292,-98.1042,4.16,4.68,11.88,100.02,35.08,9.64,11.46,69.29,36.82,80.16,70.94,15.31
27.2292,-82.3958,28.49,5.38,4.67,65.2,92.06,144.83,141.34,248.32,100.97,25.09,32.93,93.65
27.2292,-81.5625,13.91,7.0,12.41,122.1,81.01,323.32,227.47,214.89,236.92,81.98,39.44,90.27
27.2292,-80.7292,7.21,25.58,14.35,184.26,126.0,263.35,147.19,185.9,189.51,93.96,106.2,116.21
27.2708,-99.1875,14.05,3.19,15.34,106.34,84.18,18.32,2.97,103.05,76.02,61.06,46.22,22.34
27.2708,-98.3542,5.83,5.44,11.43,118.97,33.2,12.04,16.81,92.18,28.51,90.68,41.96,9.6
27.2708,-82.4375,31.12,5.19,4.67,70.43,100.41,136.32,133.78,244.34,99.15,23.85,32.31,94.36
27.2708,-81.6042,15.25,6.29,11.51,112.92,80.33,301.99,225.36,213.74,256.64,70.75,41.62,90.18
27.2708,-80.7708,7.63,27.27,14.91,181.5,122.77,267.46,155.96,185.2,189.45,97.77,105.59,116.79
27.3125,-99.2292,14.28,3.12,14.82,106.54,87.01,18.44,2.49,102.35,76.19,60.79,45.74,22.85
27.3125,-98.3958,6.19,5.53,11.27,123.6,32.9,12.22,18.07,95.79,28.34,92.59,35.13,8.18
27.3125,-97.3542,11.74,5.25,17.19,126.02,44.69,16.23,15.37,80.01,38.3,85.05,105.74,23.12
27.3125,-81.7292,16.55,6.48,10.2,97.76,82.18,257.45,203.2,228.13,262.08,56.67,43.91,91.49
27.3125,-80.8958,8.3,22.41,15.26,162.24,104.27,291.47,169.23,184.97,181.09,98.73,80.39,109.72
27.3542,-99.3125,14.59,2.89,14.38,106.92,91.51,18.82,1.95,103.08,77.83,60.08,46.22,23.82
27.3542,-98.4792,6.89,5.88,11.07,129.16,32.53,12.16,19.6,100.79,27.86,93.24,27.77,7.0
27.3542,-97.6042,7.66,4.62,13.34,116.25,34.75,9.9,9.0,73.04,44.59,81.0,98.32,20.7
27.3542,-81.9792,19.06,5.92,6.65,62.31,91.18,162.24,143.74,266.02,213.47,28.71,43.27,90.68
27.3542,-81.1458,12.79,10.22,13.34,134.64,82.82,335.97,200.55,200.02,201.55,110.97,42.49,95.62
27.3542,-80.3125,10.34,42.1,12.77,209.69,143.99,245.78,148.79,205.54,206.38,160.2,131.1,144.7
27.3958,-98.6875,8.76,6.33,14.08,127.56,39.2,13.0,19.13,103.73,34.82,85.56,27.77,9.86
27.3958,-97.8542,4.51,4.18,10.46,106.54,27.87,7.16,7.45,67.68,44.97,78.58,87.01,19.34
27.3958,-82.3125,30.33,5.08,4.87,72.86,120.02,148.58,129.13,248.74,121.24,22.16,34.82,91.03
27.3958,-81.4792,17.37,5.03,11.41,115.3,79.5,318.58,248.02,189.7,272.55,72.39,41.95,81.27
27.3958,-80.6458,8.46,37.06,14.93,190.39,123.24,257.86,175.5,183.81,189.22,110.93,117.25,125.78
27.4375,-99.0208,12.73,4.62,17.2,105.59,68.27,16.54,6.11,103.24,61.45,62.81,43.0,19.26
27.4375,-98.1875,4.9,4.41,11.25,119.86,30.09,10.71,12.26,85.65,35.74,88.91,56.86,12.03
27.4375,-82.6875,37.42,4.79,4.98,73.61,113.23,112.75,119.04,216.11,84.64,20.18,30.82,96.07
27.4375,-81.8125,20.09,7.04,6.71,66.54,79.58,193.69,162.33,244.76,284.63,35.16,50.22,83.52
27.4375,-80.9792,10.7,20.92,14.17,155.08,95.85,307.42,193.68,188.41,188.44,105.74,69.65,109.57
27.4792,-99.3125,14.74,3.12,15.21,105.51,90.27,19.22,1.93,104.88,73.45,59.2,47.96,24.17
27.4792,-98.4792,7.66,6.28,12.84,132.58,33.78,12.55,19.53,101.61,31.54,90.58,29.19,7.28
27.4792,-97.6458,8.14,4.41,14.38,124.42,37.27,11.07,8.39,77.31,43.47,82.94,98.26,20.53
27.4792,-82.1042,23.2,4.58,5.08,58.14,101.89,142.84,123.7,264.24,186.52,21.01,41.62,84.86
27.4792,-81.2708,18.09,7.15,11.75,125.64,82.19,323.76,226.41,198.22,232.95,96.0,39.17,84.44
27.4792,-80.4375,8.94,42.45,16.39,206.75,130.88,239.07,183.31,176.06,206.27,123.87,155.5,137.09
27.5208,-98.8125,10.16,6.47,18.43,114.17,45.82,13.79,12.94,98.27,45.35,68.79,35.17,12.76
27.5208,-97.9792,4.88,3.83,12.19,117.82,29.95,9.93,8.38,77.44,42.35,82.95,79.78,17.2
27.5208,-82.5625,39.19,5.23,5.09,77.29,134.07,129.2,110.75,206.96,102.85,19.13,35.2,94.02
27.5208,-81.7292,23.22,8.26,6.68,66.56,76.56,204.69,166.79,239.8,300.76,37.86,52.94,74.9
27.5208,-80.8958,9.85,31.13,15.65,164.27,100.64,283.66,206.62,178.89,182.03,97.7,90.33,116.31
27.5625,-99.2708,14.11,3.48,15.86,100.21,84.13,19.11,2.15,103.61,62.66,55.56,48.42,23.46
27.5625,-98.4375,7.53,6.17,12.75,136.02,33.98,12.74,19.52,101.61,29.65,91.94,29.56,7.38
27.5625,-97.6042,9.83,4.46,16.78,134.46,42.61,13.46,9.34,82.67,40.96,85.4,100.91,20.39
27.5625,-82.0625,22.58,4.98,6.13,55.85,102.12,148.94,119.03,258.93,204.49,22.5,46.11,82.0
27.5625,-81.2292,23.27,7.59,11.56,122.44,84.97,295.11,232.34,195.67,243.07,83.24,39.94,86.75
27.5625,-80.3958,8.92,46.02,16.47,183.99,111.81,246.22,202.75,159.43,190.47,114.86,145.94,130.07
27.6042,-98.7292,10.05,7.05,20.01,116.65,42.93,13.61,14.28,97.55,44.18,70.28,36.78,11.22
27.6042,-97.8958,5.56,3.54,14.11,123.35,33.09,10.85,7.13,76.92,44.08,81.07,89.67,18.56
27.6042,-82.3958,35.55,5.81,6.09,66.89,136.12,148.94,119.21,220.17,121.67,19.62,41.61,87.83
27.6042,-81.5625,30.5,9.55,8.59,84.74,86.65,224.85,176.29,235.63,267.17,48.38,44.38,65.7
27.6042,-80.7292,8.87,40.27,17.38,167.97,102.65,261.08,215.9,172.63,173.42,97.16,109.65,119.17
27.6458,-99.1875,13.17,4.08,17.14,95.0,78.87,18.38,3.13,99.01,53.45,51.49,47.18,21.31
27.6458,-98.3542,7.27,5.82,14.31,135.41,35.7,12.98,17.22,98.91,33.02,90.56,39.57,9.46
27.6458,-97.5208,12.72,4.74,18.98,145.34,53.53,16.31,12.12,87.57,35.17,88.23,103.3,19.86
27.6458,-81.9792,25.99,7.72,8.97,51.63,110.46,191.69,126.15,255.31,200.7,31.51,51.81,78.17
27.6458,-81.1458,25.85,13.13,12.79,124.14,88.95,261.69,206.55,205.48,223.55,79.36,45.15,95.5
27.6875,-99.7292,12.72,2.94,13.6,93.18,88.34,17.96,2.86,89.65,53.56,50.26,40.84,21.6
27.6875,-98.8958,10.99,6.53,22.05,100.48,54.11,14.74,8.9,89.84,47.43,57.05,41.45,14.24
27.6875,-98.0625,4.45,3.06,15.43,129.14,35.15,12.97,7.63,83.54,43.42,85.71,81.53,17.45
27.6875,-82.7292,36.21,6.15,5.88,48.42,120.28,133.98,119.96,184.39,95.93,19.16,42.51,91.59
27.6875,-81.6875,33.05,11.47,7.67,63.98,97.19,198.26,124.54,265.26,241.44,40.5,47.33,69.94
27.6875,-80.8542,10.56,39.65,20.19,148.67,87.32,263.66,243.85,174.02,157.11,88.52,89.67,115.41
27.7292,-99.3958,13.43,3.62,15.68,92.79,84.15,19.2,2.65,100.01,50.49,50.66,47.33,23.35
27.7292,-98.5625,10.06,7.67,21.68,121.57,43.15,13.47,14.78,93.17,45.47,71.55,41.49,9.98
27.7292,-97.7292,9.67,4.01,21.26,147.14,40.76,15.85,8.4,88.73,41.29,84.33,98.98,20.18
27.7292,-82.1458,28.42,8.05,11.24,54.26,127.23,204.94,146.89,237.56,142.23,30.77,54.38,81.87
27.7292,-81.3125,39.22,14.07,10.23,105.0,96.73,196.88,147.47,246.97,223.29,55.31,36.33,69.47
27.7292,-80.4792,9.7,46.52,19.43,140.83,86.76,253.47,231.06,164.48,160.17,106.04,106.96,121.52
27.7708,-99.0208,11.17,5.82,21.22,88.69,63.54,16.03,6.61,87.48,40.64,46.83,44.62,16.91
27.7708,-98.1875,6.25,4.63,17.56,129.45,41.9,12.56,10.86,84.96,42.44,81.76,68.31,14.87
27.7708,-97.1042,19.83,8.08,19.62,131.33,53.3,22.27,37.88,67.84,20.35,100.86,103.27,21.8
27.7708,-81.7708,34.06,11.9,10.41,56.97,116.54,222.84,120.95,263.08,201.33,42.64,49.33,73.88
27.7708,-80.9375,14.5,35.85,23.93,134.76,88.98,226.62,260.77,187.22,172.93,81.32,87.13,110.55
27.8125,-99.5208,12.96,3.71,15.61,88.0,83.4,19.02,3.58,96.77,42.12,48.77,46.12,23.1
27.8125,-98.6875,11.28,8.28,27.16,108.57,49.66,13.88,11.54,85.46,51.13,57.75,46.35,11.01
27.8125,-97.8542,7.7,3.72,20.43,143.16,43.12,13.68,9.36,83.83,41.15,82.15,92.04,19.04
27.8125,-82.3125,34.18,9.19,11.02,47.91,131.84,188.41,154.98,216.98,108.31,25.82,55.95,87.57
27.8125,-81.4792,40.77,15.64,9.46,89.75,105.44,183.94,115.75,267.28,206.92,45.61,37.22,66.5
27.8125,-80.6458,10.19,43.93,23.77,139.29,85.68,235.75,261.62,172.01,164.74,95.94,106.94,119.73
27.8542,-99.2708,12.11,4.36,17.18,81.76,77.98,18.3,4.47,92.6,32.2,44.49,46.18,20.91
27.8542,-98.4375,10.19,7.67,23.97,122.04,52.58,13.44,12.84,86.23,47.67,70.23,52.57,11.4
27.8542,-97.6042,12.25,4.34,23.16,155.02,56.56,16.8,12.82,88.79,33.99,87.06,98.31,18.64
27.8542,-82.0625,30.09,10.46,16.27,52.78,143.63,260.48,169.89,226.94,110.21,41.68,61.14,82.26
27.8542,-81.2292,36.98,19.05,14.35,106.48,102.91,165.45,135.63,241.78,200.97,51.46,49.2,80.07
27.8958,-99.7708,11.06,3.44,15.33,76.25,83.22,16.91,5.23,78.94,33.08,44.52,39.91,21.09
